clave,nombre,nombreLargo,activo
0,NO ESPECIFICADO,NO ESPECIFICADO,SI
1,NINGUNA,NINGUNA,SI
2,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SI
3,ISSSTE,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,SI
4,PEMEX,PETROLEOS MEXICANOS,SI
5,SEDENA,SECRETARÍA DE LA DEFENSA NACIONAL,SI
6,SEMAR,SECRETARÍA DE MARINA,SI
7,SEGURO POPULAR,COMISIÓN NACIONAL DE PROTECCIÓN SOCIAL EN SALUD,NO
8,OTRA,OTRA,SI
10,IMSS Bienestar,INSTITUTO MEXICANO DEL SEGURO SOCIAL REGIMEN BIENESTAR,SI
11,ISSFAM,INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS,SI
13,INSABI,INSTITUTO NACIONAL DE SALUD PARA EL BIENESTAR,NO
14,OPD IMSS BIENESTAR,OPD INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,SI
88,NO APLICA,NO APLICA,NO
99,SE IGNORA,SE IGNORA,SI
