clave,codigo,nombre,nivel,capitulo,capituloNombre,sexo,edadMin,edadMax,activo
A00,A00,CÓLERA,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A000,A00.0,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A001,A00.1,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A009,A00.9,"CÓLERA, NO ESPECIFICADO",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A01,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A010,A01.0,FIEBRE TIFOIDEA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A011,A01.1,FIEBRE PARATIFOIDEA A,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A012,A01.2,FIEBRE PARATIFOIDEA B,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A013,A01.3,FIEBRE PARATIFOIDEA C,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A014,A01.4,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A02,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A020,A02.0,ENTERITIS DEBIDA A SALMONELLA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A021,A02.1,SEPSIS DEBIDA A SALMONELLA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A022,A02.2,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A028,A02.8,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A029,A02.9,"INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A03,A03,SHIGELOSIS,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A030,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A031,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A032,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A033,A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A038,A03.8,OTRAS SHIGELOSIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A039,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A04,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A040,A04.0,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A041,A04.1,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A042,A04.2,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A043,A04.3,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A044,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A045,A04.5,ENTERITIS DEBIDA A CAMPYLOBACTER,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A046,A04.6,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A047,A04.7,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A048,A04.8,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A049,A04.9,"INFECCIÓN INTESTINAL BACTERIANA, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A05,A05,"OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE",3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A050,A05.0,INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
