clave,codigo,nombre,nivel,capitulo,capituloNombre,subtipo,sexo,edadMin,edadMax,activo
00,00,"PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS EN OTRA PARTE",2,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),,,,,NO
000,00.0,ULTRASONIDO TERAPÉUTICO,3,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),,,,,NO
0001,00.01,ULTRASONIDO TERAPÉUTICO DE VASOS DE CABEZA Y CUELLO,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0002,00.02,ULTRASONIDO TERAPÉUTICO CARDÍACO,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0003,00.03,ULTRASONIDO TERAPÉUTICO DE VASOS PERIFÉRICOS,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0009,00.09,OTRO ULTRASONIDO TERAPÉUTICO,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
001,00.1,FÁRMACOS,3,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),,,,,NO
0010,00.10,IMPLANTACIÓN DE AGENTE QUIMIOTERAPÉUTICO,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0011,00.11,INFUSIÓN DE DROTRECOGÍN ALFA (ACTIVADA),4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0012,00.12,ADMINISTRACIÓN DE ÓXIDO NÍTRICO INHALADO,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0013,00.13,INYECCIÓN O INFUSIÓN DE NESIRITIDE,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0014,00.14,INYECCIÓN O INFUSIÓN DE ANTIBIÓTICOS DEL GRUPO DE LA OXAZOLIDINONA,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0015,00.15,INFUSIÓN DE DOSIS ALTA DE INTERLEUCINA-2 [IL-2],4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0016,00.16,TRATAMIENTO PRESURIZADO DE INJERTO DE DERIVACIÓN VENOSO [CONDUCTO] CON SUSTANCIA MEDICAMENTOSA,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0017,00.17,INFUSIÓN DE AGENTE VASOPRESOR,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0018,00.18,TERAPIA DE INFUSIÓN DE ANTICUERPOS INMUNOSUPRESORES,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
0019,00.19,IRRUPCIÓN DE LA BARRERA HEMATOENCEFÁLICA VÍA INFUSIÓN [IBH] [BBBD],4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),T,,,,SI
002,00.2,IMAGEN INTRAVASCULAR DE VASOS SANGUÍNEOS,3,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),,,,,NO
0021,00.21,IMAGEN INTRAVASCULAR DE VASOS CEREBRALES EXTRACRANEALES,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),D,,,,SI
0022,00.22,IMAGEN INTRAVASCULAR DE VASOS INTRATORÁCICOS,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),D,,,,SI
0023,00.23,IMAGEN INTRAVASCULAR DE VASOS PERIFÉRICOS,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),D,,,,SI
0024,00.24,IMAGEN INTRAVASCULAR DE VASOS CORONARIOS,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),D,,,,SI
0025,00.25,IMAGEN INTRAVASCULAR DE VASOS RENALES,4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),D,,,,SI
0028,00.28,IMAGEN INTRAVASCULAR DE OTRO(S) VASO(S) ESPECIFICADO(S),4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),D,,,,SI
0029,00.29,IMAGEN INTRAVASCULAR DE VASO(S) NO ESPECIFICADO(S),4,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),D,,,,SI
003,00.3,CIRUGÍA ESPECIFICADOS ASISTIDA POR ORDENADOR [CAS],3,00,PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS MISCELÁNEOS (87 - 99),,,,,NO
