clave,codigo,padre,nombre
01001,001,01,AGUASCALIENTES
01002,002,01,ASIENTOS
01003,003,01,CALVILLO
01004,004,01,COSÍO
01005,005,01,JESÚS MARÍA
01006,006,01,PABELLÓN DE ARTEAGA
01007,007,01,RINCÓN DE ROMOS
01008,008,01,SAN JOSÉ DE GRACIA
01009,009,01,TEPEZALÁ
01010,010,01,EL LLANO
01011,011,01,SAN FRANCISCO DE LOS ROMO
02001,001,02,ENSENADA
02002,002,02,MEXICALI
02003,003,02,TECATE
02004,004,02,TIJUANA
02005,005,02,PLAYAS DE ROSARITO
02006,006,02,SAN QUINTÍN
02007,007,02,SAN FELIPE
03001,001,03,COMONDÚ
03002,002,03,MULEGÉ
03003,003,03,LA PAZ
03008,008,03,LOS CABOS
03009,009,03,LORETO
04001,001,04,CALKINÍ
04002,002,04,CAMPECHE
04003,003,04,CARMEN
04004,004,04,CHAMPOTÓN
04005,005,04,HECELCHAKÁN
04006,006,04,HOPELCHÉN
04007,007,04,PALIZADA
04008,008,04,TENABO
04009,009,04,ESCÁRCEGA
04010,010,04,CALAKMUL
04011,011,04,CANDELARIA
04012,012,04,SEYBAPLAYA
04013,013,04,DZITBALCHÉ
05001,001,05,ABASOLO
05002,002,05,ACUÑA
05003,003,05,ALLENDE
05004,004,05,ARTEAGA
05005,005,05,CANDELA
05006,006,05,CASTAÑOS
05007,007,05,CUATRO CIÉNEGAS
05008,008,05,ESCOBEDO
05009,009,05,FRANCISCO I. MADERO
05010,010,05,FRONTERA
05011,011,05,GENERAL CEPEDA
05012,012,05,GUERRERO
05013,013,05,HIDALGO
05014,014,05,JIMÉNEZ
05015,015,05,JUÁREZ
05016,016,05,LAMADRID
05017,017,05,MATAMOROS
05018,018,05,MONCLOVA
05019,019,05,MORELOS
05020,020,05,MÚZQUIZ
05021,021,05,NADADORES
05022,022,05,NAVA
05023,023,05,OCAMPO
05024,024,05,PARRAS
05025,025,05,PIEDRAS NEGRAS
05026,026,05,PROGRESO
05027,027,05,RAMOS ARIZPE
05028,028,05,SABINAS
05029,029,05,SACRAMENTO
05030,030,05,SALTILLO
05031,031,05,SAN BUENAVENTURA
05032,032,05,SAN JUAN DE SABINAS
05033,033,05,SAN PEDRO
05034,034,05,SIERRA MOJADA
05035,035,05,TORREÓN
05036,036,05,VIESCA
05037,037,05,VILLA UNIÓN
05038,038,05,ZARAGOZA
06001,001,06,ARMERÍA
06002,002,06,COLIMA
06003,003,06,COMALA
06004,004,06,COQUIMATLÁN
06005,005,06,CUAUHTÉMOC
06006,006,06,IXTLAHUACÁN
06007,007,06,MANZANILLO
06008,008,06,MINATITLÁN
06009,009,06,TECOMÁN
06010,010,06,VILLA DE ÁLVAREZ
07001,001,07,ACACOYAGUA
07002,002,07,ACALA
07003,003,07,ACAPETAHUA
07004,004,07,ALTAMIRANO
07005,005,07,AMATÁN
07006,006,07,AMATENANGO DE LA FRONTERA
07007,007,07,AMATENANGO DEL VALLE
07008,008,07,ÁNGEL ALBINO CORZO
07009,009,07,ARRIAGA
07010,010,07,BEJUCAL DE OCAMPO
07011,011,07,BELLA VISTA
07012,012,07,BERRIOZÁBAL
07013,013,07,BOCHIL
07014,014,07,EL BOSQUE
07015,015,07,CACAHOATÁN
07016,016,07,CATAZAJÁ
07017,017,07,CINTALAPA DE FIGUEROA
07018,018,07,COAPILLA
07019,019,07,COMITÁN DE DOMÍNGUEZ
07020,020,07,LA CONCORDIA
07021,021,07,COPAINALÁ
07022,022,07,CHALCHIHUITÁN
07023,023,07,CHAMULA
07024,024,07,CHANAL
07025,025,07,CHAPULTENANGO
07026,026,07,CHENALHÓ
07027,027,07,CHIAPA DE CORZO
07028,028,07,CHIAPILLA
07029,029,07,CHICOASÉN
07030,030,07,CHICOMUSELO
07031,031,07,CHILÓN
07032,032,07,ESCUINTLA
07033,033,07,FRANCISCO LEÓN
07034,034,07,FRONTERA COMALAPA
07035,035,07,FRONTERA HIDALGO
07036,036,07,LA GRANDEZA
07037,037,07,HUEHUETÁN
07038,038,07,HUIXTÁN
07039,039,07,HUITIUPÁN
07040,040,07,HUIXTLA
07041,041,07,LA INDEPENDENCIA
07042,042,07,IXHUATÁN
07043,043,07,IXTACOMITÁN
