clave,nombre,grupo
999,NO ESPECIFICADO,
101,ALERGOLOGÍA,MEDICINA INTERNA
102,ANGIOLOGÍA,MEDICINA INTERNA
103,CARDIOLOGÍA,MEDICINA INTERNA
104,CARDIOLOGÍA INTERVENCIONISTA,MEDICINA INTERNA
105,DERMATOLOGÍA,MEDICINA INTERNA
106,ENDOCRINOLOGÍA,MEDICINA INTERNA
107,GASTROENTEROLOGÍA,MEDICINA INTERNA
108,GERIATRÍA,MEDICINA INTERNA
109,HEMATOLOGÍA,MEDICINA INTERNA
110,INFECTOLOGÍA,MEDICINA INTERNA
111,INMUNOLOGÍA,MEDICINA INTERNA
112,MEDICINA INTERNA,MEDICINA INTERNA
113,NEFROLOGÍA,MEDICINA INTERNA
114,NEUMOLOGÍA,MEDICINA INTERNA
115,NEUROLOGÍA,MEDICINA INTERNA
116,ONCOLOGÍA,MEDICINA INTERNA
117,REUMATOLOGÍA,MEDICINA INTERNA
201,CIRUGÍA GENERAL,CIRUGÍA
202,CIRIGÍA BARIÁTRICA,CIRUGÍA
203,CIRUGÍA CARDIOVASCULAR,CIRUGÍA
204,CIRUGÍA COLORRECTAL,CIRUGÍA
205,CIRUGÍA DE TÓRAX,CIRUGÍA
206,CIRUGÍA ENDOCRINA,CIRUGÍA
207,CIRUGÍA ENDOSCÓPICA,CIRUGÍA
208,CIRUGÍA HEPATOBILIAR,CIRUGÍA
209,CIRUGÍA MAXILOFACIAL,CIRUGÍA
210,CIRUGÍA ONCOLÓGICA,CIRUGÍA
211,CIRUGÍA PLÁSTICA,CIRUGÍA
212,CIRUGÍA SIN ESPECIFICAR,CIRUGÍA
213,NEUROCIRUGÍA,CIRUGÍA
214,UROLOGÍA,CIRUGÍA
301,PEDIATRÍA,PEDIATRÍA
302,ALERGOLOGÍA PEDIÁTRICA,PEDIATRÍA
303,DERMATOLOGÍA PEDIÁTRICA,PEDIATRÍA
304,ENDOCRINOLOGÍA PEDIÁTRICA,PEDIATRÍA
305,GASTROENTEROLOGÍA PEDIÁTRICA,PEDIATRÍA
306,GENÉTICA PEDIÁTRICA,PEDIATRÍA
307,HEMATOLOGÍA PEDIÁTRICA,PEDIATRÍA
308,INFECTOLOGÍA PEDIÁTRICA,PEDIATRÍA
309,INMUNOLOGÍA PEDIÁTRICA,PEDIATRÍA
310,MEDICINA INTERNA PEDIÁTRICA,PEDIATRÍA
311,NEFROLOGÍA PEDIÁTRICA,PEDIATRÍA
312,NEUMOLOGÍA PEDIÁTRICA,PEDIATRÍA
313,NEUROCIRUGÍA PEDIÁTRICA,PEDIATRÍA
314,NEUROLOGÍA PEDIÁTRICA,PEDIATRÍA
315,OFTALMOLOGÍA PEDIÁTRICA,PEDIATRÍA
316,ONCOLOGÍA PEDIÁTRICA,PEDIATRÍA
317,ORTOPEDIA PEDIÁTRICA,PEDIATRÍA
318,OTORRINOLARINGOLOGÍA PEDIÁTRICA,PEDIATRÍA
319,PSIQUIATRÍA PEDIÁTRICA,PEDIATRÍA
320,REHABILITACIÓN PEDIÁTRICA,PEDIATRÍA
321,REUMATOLOGÍA PEDIÁTRICA,PEDIATRÍA
322,TRAUMATOLOGÍA PEDIÁTRICA,PEDIATRÍA
323,UROLOGÍA PEDIÁTRICA,PEDIATRÍA
324,ANESTESIA PEDIÁTRICA,PEDIATRÍA
325,CARDIOLOGÍA INTERVENCIONISTA PEDIÁTRICA,PEDIATRÍA
326,CARDIOLOGÍA PEDIÁTRICA,PEDIATRÍA
327,CIRUGÍA CARDIOVASCULAR PEDIÁTRICA,PEDIATRÍA
328,CIRUGÍA COLORRECTAL PEDIÁTRICA,PEDIATRÍA
329,CIRUGÍA DE TÓRAX PEDIÁTRICA,PEDIATRÍA
330,CIRUGÍA ENDOSCÓPICA PEDIÁTRICA,PEDIATRÍA
331,CIRUGÍA GENERAL PEDIÁTRICA,PEDIATRÍA
332,CIRUGÍA MAXILOFACIAL PEDIÁTRICA,PEDIATRÍA
333,CIRUGÍA NEONATAL,PEDIATRÍA
334,CIRUGÍA ONCOLÓGICA PEDIÁTRICA,PEDIATRÍA
